"DATE","PRICE","PURPOSE","CLIENT_ID","SOURCE"
"06/02/2020","100.000000000000000","AFLAC","ACR007743","ACR"
"06/02/2020","100.043729300000000","AFLAC","ACR007771","ACR"
"06/02/2020","100.020366500000000","AFLAC","ACR007968","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR008181","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR008405","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR008406","ACR"
"06/02/2020","100.068513200000000","AFLAC","ACR008497","ACR"
"06/02/2020","100.068641600000000","AFLAC","ACR008498","ACR"
"06/02/2020","100.033225000000000","AFLAC","ACR009998","ACR"
"06/02/2020","100.033077300000000","AFLAC","ACR009999","ACR"
"06/02/2020","99.666074250000000","AFLAC","ACR010436","ACR"
"06/02/2020","99.382562080000000","AFLAC","ACR010474","ACR"
"06/02/2020","99.666035080000000","AFLAC","ACR010659","ACR"
"06/02/2020","99.416587580000000","AFLAC","ACR010798","ACR"
"06/02/2020","99.416614850000000","AFLAC","ACR010799","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR010800","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR010801","ACR"
"06/02/2020","99.382559790000000","AFLAC","ACR010833","ACR"
"06/02/2020","99.764054520000000","AFLAC","ACR010941","ACR"
"06/02/2020","","AFLAC","ACR011524","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR011603","ACR"
"06/02/2020","99.764316880000000","AFLAC","ACR011604","ACR"
"06/02/2020","100.067985300000000","AFLAC","ACR011635","ACR"
"06/02/2020","99.471334410000000","AFLAC","ACR011680","ACR"
"06/02/2020","99.471318740000000","AFLAC","ACR011682","ACR"
"06/02/2020","98.469743670000000","AFLAC","ACR011724","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR011739","ACR"
"06/02/2020","98.988313230000000","AFLAC","ACR011740","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR011833","ACR"
"06/02/2020","98.988918020000000","AFLAC","ACR011837","ACR"
"06/02/2020","98.988865000000000","AFLAC","ACR011838","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR011840","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR011841","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR011846","ACR"
"06/02/2020","","AFLAC","ACR011900","ACR"
"06/02/2020","98.837659490000000","AFLAC","ACR011963","ACR"
"06/02/2020","99.379983320000000","AFLAC","ACR012196","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR012482","ACR"
"06/02/2020","98.702096240000000","AFLAC","ACR012720","ACR"
"06/02/2020","98.988310320000000","AFLAC","ACR012786","ACR"
"06/02/2020","99.380004870000000","AFLAC","ACR012855","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR012856","ACR"
"06/02/2020","98.469668170000000","AFLAC","ACR012871","ACR"
"06/02/2020","98.837748150000000","AFLAC","ACR012977","ACR"
"06/02/2020","98.702206730000000","AFLAC","ACR013006","ACR"
"06/02/2020","","AFLAC","ACR013025","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR013026","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR013028","ACR"
"06/02/2020","","AFLAC","ACR013115","ACR"
"06/02/2020","","AFLAC","ACR013229","ACR"
"06/02/2020","","AFLAC","ACR013230","ACR"
"06/02/2020","","AFLAC","ACR013231","ACR"
"06/02/2020","","AFLAC","ACR013232","ACR"
"06/02/2020","99.147147940000000","AFLAC","ACR013283","ACR"
"06/02/2020","","AFLAC","ACR013284","ACR"
"06/02/2020","99.146973860000000","AFLAC","ACR013285","ACR"
"06/02/2020","","AFLAC","ACR013286","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR013685","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR013686","ACR"
"06/02/2020","98.992950180000000","AFLAC","ACR013688","ACR"
"06/02/2020","98.992971590000000","AFLAC","ACR013689","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR013694","ACR"
"06/02/2020","100.000000000000000","AFLAC","ACR013695","ACR"
"06/02/2020","","AFLAC","ACR014356","ACR"
"06/02/2020","","AFLAC","ACR014357","ACR"
